id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
1444,F,1.4375,1.125,0.3625,25.92561775,10.81533425,5.14543425,6.23689,7.0
1445,I,1.1,0.825,0.275,10.092422,4.9044635,2.05533875,3.118445,8.0
1446,M,1.45,1.125,0.4,20.638436,11.736693,5.216308,6.80388,8.0
1447,M,1.5625,1.175,0.4375,27.9242575,13.13999325,7.49844275,8.1363065,9.0
1448,I,0.825,0.5625,0.1875,4.309124,1.8427175,0.86465975,0.963883,7.0
1449,F,1.325,1.025,0.35,20.8935815,8.77417025,4.40834725,6.23689,8.0
1450,F,1.5625,1.2125,0.475,34.1611475,15.1669825,7.427569,8.3631025,11.0
1451,F,1.4,1.1125,0.375,27.0170735,11.75086775,5.71242425,7.7961125,11.0
1452,I,0.9625,0.725,0.225,6.577084,2.6365035,1.80019325,2.438057,6.0
1453,F,1.2,0.975,0.375,28.81726675,13.9196045,6.67630725,7.5126175,8.0
1454,M,1.575,1.2125,0.4125,31.638042,14.35902175,6.25106475,8.9300925,8.0
1455,I,0.7875,0.55,0.2,4.6209685,2.154562,1.34660125,1.5592225,6.0
1456,I,1.5625,1.2125,0.375,35.096681,17.39241825,8.391452,9.07184,11.0
1457,F,1.8375,1.375,0.55,58.75433875,25.231055,13.380964,15.4504775,10.0
1458,F,1.7125,1.3,0.425,43.02036625,18.9091165,11.056305,12.6155275,12.0
1459,M,1.5625,1.2375,0.4125,34.9549335,15.77649675,7.0023265,10.3475675,11.0
1460,M,1.325,1.0625,0.4125,23.88445375,10.77281,5.3580555,6.9456275,9.0
1461,F,1.5875,1.2625,0.425,38.08755325,16.782904,8.66077225,10.0640725,13.0
1462,I,0.825,0.5875,0.2125,5.31553125,2.6365035,0.9355335,1.644271,7.0
1463,F,1.4375,1.1,0.375,24.30969625,9.36950975,5.62737575,7.824462,11.0
1464,M,1.7,1.275,0.4125,43.318036,20.34076625,10.56018875,9.922325,11.0
1465,M,1.475,1.175,0.3375,29.44095575,8.9867915,6.747181,9.07184,14.0
1466,M,1.7,1.3125,0.425,42.99201675,20.2131935,9.53960675,13.7495075,8.0
1467,M,1.45,1.1375,0.4375,28.576296,11.5949455,6.36446275,8.0796075,13.0
1468,M,1.3,0.9875,0.375,21.0069795,7.92368525,4.252425,6.19436575,17.0
1469,M,1.45,1.15,0.425,32.205032,15.35125425,6.13766675,7.7961125,9.0
1470,I,1.2875,1.0375,0.375,22.41027975,9.87980075,5.42892925,6.0951425,10.0
1471,F,1.45,1.125,0.3625,30.1922175,14.5999925,5.9250455,8.0796075,10.0
1472,I,1.3125,1.025,0.35,22.5378525,8.15048125,4.8477645,6.6621325,19.0
1473,M,1.575,1.2625,0.375,34.6147395,13.05494475,7.64019025,10.20582,11.0
1474,M,1.4875,1.175,0.375,31.99241075,14.35902175,7.314171,7.767763,9.0
1475,M,1.475,1.1375,0.425,32.78619675,14.3164975,7.52679225,8.6465975,10.0
1476,I,0.8,0.6,0.2125,4.2240755,1.80019325,0.963883,1.417475,7.0
1477,I,0.9625,0.7125,0.225,8.09378225,3.1467945,1.51669825,2.08368825,6.0
1478,M,1.525,1.1625,0.425,30.03629525,12.47378,4.762716,9.07184,10.0
1479,F,1.75,1.3375,0.5125,52.900167,20.53921275,11.226402,14.5999925,12.0
1480,M,1.375,1.075,0.3375,24.9192105,10.375917,5.556502,7.030676,9.0
1481,F,1.6625,1.35,0.4125,47.0318205,21.16290175,8.68912175,12.2186345,11.0
1482,M,1.325,1.0,0.325,16.9813505,6.78970525,3.95475525,5.2446575,12.0
1483,M,1.125,0.875,0.325,13.891255,5.5848515,2.891649,4.195726,9.0
1484,F,1.375,1.075,0.3625,19.17843675,6.9456275,3.515338,6.3786375,13.0
1485,I,0.8125,0.6125,0.1875,4.20990075,1.71514475,0.89300925,1.2757275,6.0
1486,I,0.925,0.6875,0.2125,6.98815175,2.31048425,1.34660125,1.8427175,7.0
1487,I,1.275,0.9375,0.3375,16.839603,8.91591775,3.72795925,4.592619,8.0
1488,F,1.2875,0.9625,0.3125,16.896302,7.83863675,3.4869885,3.8271825,9.0
1489,M,1.3,1.0625,0.3875,24.5790165,11.7083435,4.4508715,7.2291225,8.0
1490,F,1.175,0.925,0.3125,14.571643,5.953395,3.231843,4.252425,10.0
1491,F,1.65,1.325,0.475,44.4236665,15.989118,9.53960675,16.0174675,20.0
1492,I,0.825,0.625,0.225,4.63514325,2.1829115,1.65844575,1.5592225,5.0
1493,I,1.125,0.825,0.3,10.77281,4.74854125,2.4097075,3.2601925,8.0
1494,M,1.5875,1.275,0.4375,34.302895,15.365429,5.17378375,11.056305,11.0
1495,F,1.225,0.95,0.3375,17.0380495,7.0590255,3.7704835,5.2446575,8.0
1496,M,1.3125,0.9625,0.3,16.76872925,8.164656,3.41611475,4.6776675,9.0
1497,F,1.5875,1.25,0.4,36.6559035,17.70426275,8.23552975,9.355335,12.0
1498,I,0.8375,0.5625,0.2,5.59902625,2.9766975,1.14815475,1.360776,7.0
1499,I,0.7,0.525,0.175,3.04757125,1.20485375,0.623689,0.9922325,5.0
1500,F,1.1875,0.9375,0.325,14.2030995,5.99591925,3.2601925,4.3941725,10.0
1501,I,1.0375,0.8125,0.25,10.2341695,4.592619,1.757669,2.9766975,8.0
1502,F,1.5625,1.2375,0.3875,34.06192425,15.195332,7.9662095,8.9300925,10.0
1503,I,1.0125,0.75,0.225,7.10154975,3.005047,1.8994165,2.1262125,8.0
1504,I,1.1,0.85,0.25,9.19941275,4.46504625,1.60174675,2.6932025,7.0
1505,M,1.3625,1.0875,0.375,22.963095,8.334753,4.66349275,6.80388,9.0
1506,M,1.5125,1.225,0.4125,25.44367625,9.241937,5.71242425,8.6465975,12.0
1507,I,1.3,0.9625,0.3,17.70426275,8.8733935,3.9972795,5.06038575,8.0
1508,F,1.25,0.95,0.3125,18.24290325,7.47009325,4.53592,5.896696,9.0
1509,F,1.625,1.275,0.4375,35.5786225,17.08057375,9.015141,8.9300925,9.0
1510,F,1.4625,1.1375,0.375,27.08794725,13.02659525,6.010094,7.087375,9.0
1511,F,1.2625,0.95,0.3375,18.10115575,8.561549,3.8838815,4.9611625,8.0
1512,F,1.3125,1.0,0.3625,20.79435825,10.149121,4.479221,5.8116475,10.0
1513,F,1.55,1.25,0.4375,50.008518,23.51591025,11.9918385,9.4970825,13.0
1514,M,1.3125,1.05,0.325,21.659018,7.8528115,4.26659975,5.953395,9.0
1515,F,1.7875,1.375,0.5125,57.16676675,30.29144075,11.60912025,12.8990225,13.0
1516,M,1.35,1.0375,0.35,22.8213475,10.092422,4.989512,5.443104,9.0
1517,I,1.425,1.1375,0.375,28.066005,9.752228,6.19436575,8.3631025,9.0
1518,M,0.9875,0.7375,0.2625,7.72523875,2.84912475,1.31825175,2.4097075,6.0
1519,I,1.025,0.75,0.225,8.06543275,4.082328,1.80019325,2.26796,6.0
1520,I,1.3,0.9875,0.35,15.83319575,7.711064,3.2601925,4.819415,9.0
1521,I,1.3125,1.0,0.375,21.035329,7.41339425,3.98310475,5.896696,19.0
1522,M,1.125,0.8875,0.3,15.23785625,6.76135575,3.27436725,4.252425,9.0
1523,M,0.775,0.5375,0.225,4.7343665,1.6159215,0.963883,1.70097,8.0
1524,I,0.9,0.6875,0.2375,5.7549485,2.211261,1.6726205,1.5592225,7.0
1525,F,1.675,1.3125,0.4,48.5059945,21.92833825,10.87203325,9.355335,10.0
1526,M,1.5875,1.2375,0.4375,36.7693015,16.8679525,9.8372765,10.0640725,9.0
1527,M,1.225,1.025,0.3375,16.839603,6.6621325,3.04757125,6.3786375,11.0
1528,I,1.025,0.7875,0.25,7.72523875,3.2601925,1.77184375,2.4097075,9.0
1529,M,1.425,1.15,0.3875,25.51455,8.15048125,5.556502,7.087375,10.0
1530,I,1.3875,1.0625,0.325,21.829115,11.26892625,5.68407475,5.499803,8.0
1531,F,1.6,1.3125,0.4625,39.405805,18.38465075,7.47009325,10.4042665,11.0
1532,M,1.55,1.2,0.45,35.50774875,16.5844575,6.577084,8.9300925,9.0
1533,I,0.9625,0.775,0.225,9.07184,4.0539785,1.85689225,2.90582375,7.0
1534,M,1.55,1.175,0.4,36.627554,17.61921425,8.2497045,8.7599955,9.0
1535,I,0.9875,0.7875,0.225,8.674947,3.798833,1.82854275,2.551455,8.0
1536,I,0.6875,0.4875,0.1375,2.62232875,0.8788345,0.5953395,0.89300925,6.0
1537,I,1.1875,0.875,0.3125,16.74037975,8.6465975,3.6003865,3.8271825,6.0
1538,I,0.9875,0.775,0.225,10.02154825,4.0539785,2.08368825,2.4664065,7.0
1539,I,1.125,0.825,0.3,10.44679075,3.72795925,2.4097075,3.40194,7.0
1540,F,1.25,0.9875,0.3375,17.349894,8.051258,3.8271825,4.9611625,8.0
1541,M,1.175,0.8875,0.2875,13.02659525,6.6054335,2.87747425,3.8271825,7.0
1542,M,1.4,1.0875,0.3875,28.36367475,12.133586,5.79747275,8.50485,13.0
1543,F,1.45,1.1625,0.3875,28.81726675,12.34620725,7.01650125,7.087375,10.0
1544,M,1.375,1.1,0.3625,22.055911,6.90310325,4.4508715,7.7961125,14.0
1545,F,1.325,1.0375,0.35,23.85610425,10.432616,4.422522,6.0951425,10.0
1546,M,1.525,1.2125,0.425,39.7743485,16.782904,6.90310325,11.7650425,13.0
1547,M,1.2125,0.9875,0.3125,16.42853525,6.08096775,3.04757125,5.2446575,12.0
1548,I,1.2625,0.95,0.35,17.7184375,8.6465975,4.53592,4.9611625,8.0
1549,F,1.5125,1.1875,0.3875,30.1922175,13.777857,7.257472,8.9300925,9.0
1550,F,1.55,1.2125,0.3875,28.44872325,10.24834425,6.2085405,9.4970825,10.0
1551,F,1.4,1.125,0.3625,26.3366855,12.3320325,6.50621025,7.654365,10.0
1552,I,0.9,0.675,0.1875,6.7755305,2.83495,1.06310625,1.8427175,6.0
1553,M,1.45,1.125,0.4375,28.689694,10.999606,5.216308,11.623295,17.0
1554,F,1.5375,1.1875,0.4125,38.7537665,19.83047525,7.427569,9.63883,10.0
1555,I,1.0125,0.8375,0.275,10.886208,4.29494925,2.05533875,3.118445,9.0
1556,I,1.525,1.125,0.35,23.700182,10.9145575,4.55009475,7.37087,8.0
1557,I,0.975,0.725,0.2375,7.72523875,3.2601925,1.17650425,2.1829115,7.0
1558,I,1.2625,0.9625,0.3125,18.71067,8.40562675,3.58621175,4.40834725,8.0
1559,I,1.1,0.85,0.3,10.7444605,4.29494925,2.33883375,3.3735905,7.0
1560,M,1.5375,1.25,0.4625,36.55668025,13.53688625,8.09378225,11.60912025,13.0
1561,I,0.6875,0.5125,0.1625,3.3168915,1.34660125,0.80796075,0.850485,6.0
1562,F,1.55,1.2,0.3875,31.3828965,13.6928085,6.90310325,9.63883,11.0
1563,F,1.7,1.325,0.4875,43.6298805,20.2131935,11.60912025,10.81533425,12.0
1564,F,1.525,1.2,0.4,28.91649,12.40290625,7.257472,8.0796075,10.0
1565,I,1.125,0.9125,0.2625,14.81261375,6.73300625,3.061746,3.96893,7.0
1566,F,1.3875,1.1,0.35,21.70154225,7.484268,4.86193925,7.37087,12.0
1567,F,1.5,1.1625,0.375,27.499015,11.169703,6.56290925,8.3064035,11.0
1568,I,0.9375,0.6875,0.2,6.7188315,3.061746,1.14815475,1.984465,6.0
1569,I,0.875,0.65,0.2125,5.82582225,2.721552,0.9355335,1.984465,7.0
1570,I,0.6875,0.5,0.1375,2.2963095,0.9922325,0.623689,0.850485,5.0
1571,I,1.2875,0.9875,0.325,17.22232125,6.47786075,3.98310475,6.3786375,9.0
1572,M,1.3125,1.1375,0.3125,26.08154,10.8011595,5.1879585,7.37087,9.0
1573,M,1.5125,1.1625,0.425,33.8776525,11.6516445,6.64795775,10.3475675,14.0
1574,M,1.325,1.0125,0.2625,18.86659225,8.221355,4.422522,5.00368675,11.0
1575,I,0.5375,0.4,0.1375,1.6159215,0.58116475,0.35436875,0.4252425,5.0
1576,M,1.55,1.2,0.45,35.777069,15.705623,7.07320025,10.3475675,10.0
1577,I,0.8875,0.65,0.2125,5.91087075,2.551455,1.40330025,1.644271,5.0
1578,M,1.5125,1.1875,0.375,29.1149365,12.47378,6.123492,8.50485,8.0
1579,F,1.525,1.2125,0.375,35.096681,15.705623,7.7394135,9.07184,10.0
1580,I,1.0375,0.8125,0.2375,9.355335,3.98310475,1.927766,2.26796,6.0
1581,M,1.225,0.9375,0.3125,15.09610875,6.13766675,3.64291075,4.252425,9.0
1582,M,1.325,1.0375,0.3875,22.1976585,9.87980075,5.99591925,5.386405,9.0
1583,I,1.2625,1.0,0.3125,15.9607685,7.3425205,3.52951275,4.819415,8.0
1584,M,1.3625,1.05,0.3375,22.29688175,6.3786375,5.2446575,6.520385,10.0
1585,M,1.425,1.05,0.3625,23.94115275,10.04989775,4.989512,8.221355,9.0
1586,F,1.725,1.35,0.45,49.59745025,20.53921275,10.41844125,13.60776,9.0
1587,F,1.4875,1.175,0.4375,34.132798,14.911837,9.56795625,9.07184,10.0
1588,I,0.725,0.525,0.1875,3.24601775,1.2757275,0.737087,0.8788345,3.0
1589,M,1.4625,1.15,0.3625,28.462898,12.2753335,5.5281525,8.221355,10.0
1590,F,1.6125,1.2,0.425,32.4601775,13.2959155,7.314171,8.74582075,10.0
1591,I,1.0875,0.8625,0.275,10.3475675,4.29494925,2.67902775,3.118445,8.0
1592,I,0.9375,0.7125,0.2625,7.9095105,3.41611475,1.8427175,2.1262125,8.0
1593,I,1.4875,1.1625,0.375,23.11901725,7.3992195,4.60679375,6.80388,12.0
1594,F,1.2375,0.9625,0.3625,21.55979475,10.4609655,4.649318,5.2446575,8.0
1595,F,1.275,0.975,0.35,16.31513725,6.747181,4.082328,5.2446575,8.0
1596,M,1.55,1.2125,0.3875,34.60056475,16.0174675,6.56290925,9.4970825,10.0
1597,F,1.5,1.2,0.4375,32.16250775,13.31009025,7.52679225,9.4970825,12.0
1598,I,1.025,0.7875,0.2375,8.8733935,3.8271825,1.68679525,2.4097075,7.0
1599,M,1.475,1.175,0.4,31.99241075,10.6877615,5.57067675,9.922325,13.0
1600,F,1.525,1.2,0.425,32.31843,14.92601175,7.314171,8.9300925,9.0
1601,I,0.8875,0.6625,0.2125,5.556502,2.65067825,1.20485375,1.70097,6.0
1602,M,1.6875,1.3375,0.45,43.95589975,16.4143605,11.60912025,12.6155275,11.0
1603,M,1.4625,1.125,0.375,29.41260625,13.4093135,6.59125875,8.1363065,11.0
1604,M,1.3875,1.0875,0.3375,21.829115,10.035723,4.422522,5.10291,9.0
1605,F,1.7125,1.375,0.4875,44.55123925,16.839603,10.942907,14.514944,17.0
1606,I,1.1375,0.875,0.2875,11.97766375,5.4147545,2.5798045,3.33106625,7.0
1607,I,0.7875,0.575,0.1875,3.86970675,1.2190285,0.80796075,1.13398,6.0
1608,M,1.3875,1.075,0.375,24.777463,9.241937,5.216308,7.7961125,11.0
1609,I,0.95,0.725,0.2375,8.1930055,4.26659975,1.80019325,2.36718325,6.0
1610,M,1.025,0.8125,0.2625,10.30504325,4.46504625,2.08368825,2.6932025,7.0
1611,F,1.05,0.8375,0.25,13.04077,6.5487345,3.01922175,3.118445,7.0
1612,I,0.875,0.6625,0.225,5.59902625,2.11203775,1.4458245,1.984465,8.0
1613,I,0.6375,0.4625,0.1625,2.05533875,0.737087,0.5953395,0.7087375,5.0
1614,I,1.1,0.875,0.275,10.432616,4.74854125,1.77184375,3.3168915,7.0
1615,F,1.525,1.175,0.3625,28.576296,12.133586,6.39281225,8.50485,11.0
1616,M,1.5,1.2125,0.4,30.83008125,11.7083435,6.13766675,9.922325,13.0
1617,F,1.55,1.2125,0.4375,33.40988575,12.20445975,7.52679225,11.056305,17.0
1618,I,1.0375,0.7875,0.2625,10.19164525,4.43669675,2.22543575,2.9766975,7.0
1619,M,1.3875,1.0625,0.4,28.02348075,14.3731965,6.13766675,9.07184,9.0
1620,M,1.5875,1.275,0.4,38.71124225,14.10387625,8.7032965,10.20582,11.0
1621,I,0.9875,0.75,0.225,8.46232575,4.69184225,1.77184375,2.324659,8.0
1622,M,1.425,1.125,0.4125,26.70366875,12.71475075,5.74077375,7.7961125,9.0
1623,I,1.1375,0.875,0.3375,12.71475075,4.6776675,2.59397925,3.3735905,7.0
1624,F,1.125,0.85,0.25,12.303683,5.71242425,2.2963095,3.5436875,7.0
1625,F,1.5,1.1875,0.4125,29.41260625,12.62970225,6.27941425,8.3631025,9.0
1626,M,1.6125,1.2625,0.4125,32.16250775,13.947954,7.3425205,8.9300925,9.0
1627,M,1.525,1.175,0.3875,33.40988575,13.56523575,7.10154975,9.02931575,15.0
1628,M,1.5375,1.1875,0.4375,29.823674,12.3320325,5.556502,8.221355,13.0
1629,I,1.2125,0.8875,0.2875,13.8062065,5.34388075,3.3735905,4.3941725,7.0
1630,M,1.25,0.975,0.3375,20.25571775,8.97261675,4.422522,5.14543425,10.0
1631,F,1.425,1.125,0.375,25.51455,10.829509,6.3219385,6.9456275,10.0
1632,I,0.95,0.7125,0.2375,6.70465675,2.7499015,1.43164975,2.26796,8.0
1633,M,1.4875,1.1625,0.375,28.05183025,11.3114505,7.5693165,8.3631025,11.0
1634,M,1.6125,1.25,0.4625,39.008912,18.086981,8.278054,9.922325,11.0
1635,I,1.0125,0.7625,0.225,9.19941275,4.63514325,1.7293195,2.26796,6.0
1636,I,1.0,0.775,0.225,9.82310175,4.025629,2.14038725,2.26796,7.0
1637,I,1.2125,0.95,0.3,19.97222275,9.468733,3.8838815,6.0951425,7.0
1638,M,1.55,1.2125,0.425,37.0527965,18.200379,8.74582075,7.5126175,10.0
1639,I,1.1625,0.9,0.25,13.53688625,5.96756975,2.9199985,3.8271825,7.0
1640,I,1.1,0.85,0.3125,13.11164375,6.2652395,2.50893075,3.96893,8.0
1641,M,1.525,1.175,0.4125,31.694741,14.61416725,7.314171,7.93786,11.0
1642,F,1.7,1.35,0.5125,51.55356575,22.80717275,11.963489,14.1464005,12.0
1643,F,1.575,1.2,0.4125,32.4601775,12.85649825,7.540967,11.7650425,16.0
1644,M,1.8,1.4125,0.5125,60.384435,21.89998875,11.60912025,18.71067,20.0
1645,M,1.4625,1.125,0.3875,24.08290025,8.7599955,5.25883225,7.7961125,13.0
1646,I,0.7,0.525,0.2125,2.84912475,1.09145575,0.58116475,0.850485,5.0
1647,I,1.0,0.775,0.25,8.958442,3.8271825,1.7860185,2.1262125,7.0
1648,I,1.1,0.875,0.3,14.13222575,5.953395,2.67902775,3.8271825,7.0
1649,M,1.5125,1.1625,0.4,29.937072,11.4248485,6.917278,8.788345,16.0
1650,M,1.7125,1.3,0.3875,41.4753185,17.4916415,9.9506745,11.283101,11.0
1651,I,1.0375,0.8,0.275,8.51902475,3.912231,1.65844575,2.83495,8.0
1652,I,1.125,0.8375,0.2625,13.551061,5.00368675,2.3530085,3.118445,8.0
1653,F,1.4875,1.075,0.375,22.736299,10.2341695,5.59902625,6.23689,8.0
1654,M,1.3,1.0125,0.3125,22.4244545,10.47514025,4.12485225,6.3786375,8.0
1655,I,1.325,0.9875,0.3,16.9813505,8.561549,3.27436725,4.3941725,8.0
1656,I,1.0875,0.8,0.2625,10.149121,4.9611625,2.608154,3.5436875,9.0
1657,I,1.275,1.0,0.3375,21.9708625,10.432616,4.72019175,5.2446575,10.0
1658,M,1.5625,1.25,0.4375,34.79901125,18.2287285,6.64795775,9.355335,11.0
1659,I,1.3,1.0,0.3125,18.313777,8.50485,4.15320175,4.53592,8.0
1660,F,1.6125,1.4,0.45,47.173568,20.071446,10.24834425,13.36678925,13.0
1661,I,0.5125,0.375,0.1125,0.89300925,0.3118445,0.226796,0.283495,4.0
1662,F,1.775,1.3875,0.45,53.29706,26.3933845,12.6722265,12.8990225,11.0
1663,M,1.5375,1.1875,0.4125,29.937072,12.23280925,7.0023265,8.788345,9.0
1664,F,1.3375,1.025,0.375,21.9708625,7.10154975,4.60679375,5.2446575,13.0
1665,M,1.3125,1.0125,0.3,18.46969925,8.0796075,4.1106775,4.762716,8.0
1666,F,1.425,1.1375,0.3875,28.76056775,14.38737125,6.577084,7.2291225,8.0
1667,F,1.625,1.3125,0.45,38.5269705,18.01610725,7.38504475,11.056305,11.0
1668,M,1.725,1.375,0.4625,52.34735175,19.1359125,10.999606,15.1669825,11.0
1669,I,1.6125,1.2875,0.4125,38.725417,13.834556,7.24329725,11.90679,14.0
1670,M,1.35,1.0375,0.3875,20.70930975,8.7032965,4.479221,5.386405,9.0
1671,M,1.3,1.0375,0.4375,23.7285315,8.164656,3.86970675,10.489315,16.0
1672,F,1.3125,1.0125,0.3125,18.75319425,8.15048125,4.989512,5.10291,9.0
1673,F,1.6625,1.375,0.475,48.5059945,23.71435675,10.19164525,11.3398,9.0
1674,F,1.4,1.1625,0.375,28.462898,13.42348825,5.31553125,7.5126175,10.0
1675,I,0.6875,0.4875,0.1625,3.67126025,1.474174,0.623689,0.793786,6.0
1676,M,1.3375,1.025,0.375,23.71435675,11.4248485,4.932813,6.80388,9.0
1677,I,1.375,1.125,0.375,23.7285315,10.829509,5.046211,7.087375,8.0
1678,F,1.4875,1.1625,0.3875,31.19862475,13.60776,6.633783,9.9506745,10.0
1679,F,1.725,1.375,0.5125,47.513762,21.67319275,11.9918385,12.8423235,9.0
1680,I,0.9,0.675,0.2,6.066793,2.6932025,1.70097,1.984465,5.0
1681,F,1.3125,1.0,0.375,19.15008725,8.17883075,4.4508715,6.23689,9.0
1682,F,1.675,1.35,0.475,35.210079,12.133586,6.98815175,13.324265,15.0
1683,F,1.6125,1.2375,0.4,35.98969025,15.0535845,9.99319875,9.922325,9.0
1684,I,0.8,0.6,0.2,5.443104,2.2963095,1.31825175,1.5025235,6.0
1685,M,1.45,1.0875,0.425,29.313383,10.035723,6.30776375,7.5126175,12.0
1686,F,1.575,1.2,0.4375,35.81959325,17.08057375,7.18659825,9.63883,14.0
1687,I,1.2125,0.9375,0.3125,16.40018575,7.86698625,3.2601925,4.3941725,7.0
1688,M,1.3625,1.05,0.35,26.2799865,7.10154975,5.5281525,8.3631025,12.0
1689,M,1.5125,1.175,0.375,32.545226,15.2803805,6.22271525,8.7032965,9.0
1690,M,1.8,1.375,0.5,60.6962795,22.7079495,12.47378,14.17475,17.0
1691,M,1.575,1.2875,0.425,33.46658475,13.82038125,8.674947,11.1980525,10.0
1692,F,1.6625,1.2875,0.4375,38.838815,15.77649675,8.3064035,11.623295,17.0
1693,I,0.75,0.5375,0.2,4.86193925,2.16873675,0.963883,1.2757275,6.0
1694,I,1.1125,0.825,0.275,12.7289255,5.839997,2.5231055,3.40194,8.0
1695,M,1.6375,1.3,0.4125,44.43784125,20.36911575,10.4042665,11.4815475,9.0
1696,I,1.0375,0.8125,0.3,9.36950975,3.98310475,1.8994165,3.40194,9.0
1697,M,1.2,0.9375,0.3125,17.70426275,7.35669525,4.592619,4.1106775,9.0
1698,F,1.5375,1.1875,0.4375,32.81454625,12.82814875,6.78970525,8.9300925,16.0
1699,I,1.1875,0.95,0.2875,14.67086625,5.65572525,3.10427025,3.685435,7.0
1700,F,1.3,1.0625,0.3625,24.8058125,9.8939755,4.37999775,7.2291225,13.0
1701,F,1.5125,1.2,0.4125,31.79396425,14.5432935,6.520385,8.50485,12.0
1702,I,1.075,0.8,0.2625,9.298636,4.57844425,1.8427175,2.83495,7.0
1703,I,1.4,1.0625,0.4125,23.79940525,10.149121,6.64795775,6.3786375,10.0
1704,M,1.375,1.0375,0.4125,22.29688175,8.63242275,3.5436875,6.9456275,10.0
1705,M,1.575,1.275,0.3875,33.52328375,13.13999325,6.22271525,11.3398,10.0
1706,F,1.45,1.1125,0.375,25.287754,12.34620725,5.8683465,6.95980225,11.0
1707,F,1.7125,1.3625,0.4125,48.00987825,19.29183475,9.99319875,12.8990225,11.0
1708,I,0.7875,0.575,0.2,3.6003865,1.360776,0.89300925,1.13398,8.0
1709,I,1.1875,0.8875,0.275,12.984071,5.88252125,2.721552,4.252425,11.0
1710,F,1.4875,1.125,0.4,31.6096925,13.62193475,7.257472,8.80251975,11.0
1711,M,1.325,1.0625,0.325,22.6512505,9.979024,5.159609,6.23689,8.0
1712,F,1.375,1.1,0.375,28.19357775,10.95708175,7.881161,8.0796075,14.0
1713,F,1.25,0.95,0.325,17.08057375,7.994559,3.7704835,4.3941725,9.0
1714,M,1.2875,1.0,0.3625,20.53921275,9.99319875,4.082328,6.23689,7.0
1715,M,1.475,1.15,0.375,24.81998725,11.793392,5.74077375,6.80388,9.0
1716,M,1.45,1.15,0.375,29.66775175,14.55746825,6.180191,7.2291225,9.0
1717,I,0.625,0.475,0.125,2.16873675,0.7654365,0.453592,0.510291,4.0
1718,I,0.925,0.6875,0.2125,7.2858215,3.061746,1.11980525,1.984465,6.0
1719,F,1.55,1.2125,0.3875,32.0065855,12.03436275,6.5487345,9.4970825,14.0
1720,I,1.4375,1.15,0.3375,23.88445375,11.736693,5.17378375,6.6621325,9.0
1721,M,1.3125,1.0,0.3375,18.01610725,8.09378225,4.01145425,5.953395,10.0
1722,F,1.525,1.1375,0.4,32.31843,10.829509,7.15824875,8.0796075,12.0
1723,F,1.2625,1.0,0.3625,19.57532975,9.07184,4.57844425,6.23689,13.0
1724,F,1.7375,1.3875,0.5,50.39123625,23.91280325,10.8578585,13.3526145,12.0
1725,M,1.775,1.425,0.45,58.7685135,26.591831,12.47378,12.20445975,11.0
1726,M,1.375,1.1125,0.3,20.638436,9.8372765,4.32329875,6.9456275,10.0
1727,F,1.5625,1.2125,0.4625,36.95357325,16.9246515,8.43397625,11.623295,10.0
1728,I,0.45,0.2875,0.0625,0.680388,0.2551455,0.1417475,0.2551455,6.0
1729,M,1.5875,1.275,0.3875,33.5374585,13.947954,8.83086925,9.2135875,11.0
1730,M,1.5,1.1625,0.425,31.3261975,14.401546,7.0023265,8.9300925,10.0
1731,I,1.0,0.75,0.225,7.55514175,3.27436725,1.7293195,2.1262125,7.0
1732,I,1.25,0.975,0.3125,15.74814725,6.8889285,3.061746,5.5281525,8.0
1733,M,1.525,1.2,0.475,35.28095275,14.7133905,7.200773,9.07184,13.0
1734,M,1.5,1.2375,0.4375,32.16250775,13.31009025,6.90310325,9.355335,10.0
1735,M,1.625,1.275,0.45,39.405805,19.0225145,7.41339425,9.4970825,11.0
1736,I,0.8,0.625,0.225,5.7549485,2.211261,0.737087,1.5592225,8.0
1737,M,1.3,1.0625,0.325,23.8986285,11.3114505,5.159609,6.633783,9.0
1738,I,0.9875,0.75,0.225,8.0229085,3.98310475,1.77184375,2.83495,7.0
1739,M,1.475,1.1125,0.325,27.51318975,12.927372,6.59125875,7.2291225,9.0
1740,F,1.375,1.0625,0.375,26.29416125,10.33339275,5.5281525,7.7961125,9.0
1741,M,1.4875,1.25,0.425,31.1561005,14.92601175,7.3992195,8.6465975,8.0
1742,F,1.8,1.4125,0.4875,54.7428845,23.5584345,11.60912025,14.5999925,18.0
1743,F,1.5625,1.225,0.4,34.79901125,16.20173925,6.13766675,9.53960675,11.0
1744,M,1.2625,0.95,0.3125,18.824068,8.561549,3.72795925,5.2446575,9.0
1745,I,1.25,0.9875,0.3375,17.61921425,6.973977,3.78465825,5.5281525,15.0
1746,M,1.125,0.8875,0.35,13.08329425,5.17378375,3.30271675,4.1106775,8.0
1747,I,1.2625,1.0,0.3375,16.76872925,8.164656,3.86970675,4.53592,8.0
1748,M,1.5375,1.2125,0.4375,36.6559035,16.896302,8.164656,10.489315,13.0
1749,M,1.4875,1.1625,0.4125,29.69610125,11.169703,6.2085405,8.3631025,15.0
1750,M,1.525,1.175,0.4,33.57998275,18.9091165,7.35669525,7.087375,8.0
1751,F,1.525,1.175,0.375,30.43318825,16.0174675,5.726599,8.3631025,9.0
